Tasks,QueueWait,ResponseTime,Overload,Utilization,Battery,Urgency
5000.0,4373.16,4682.74,0,0.141,0.829,1.071
10000.0,8757.92,9012.81,0,0.113,0.835,1.029
15000.0,12216.98,13850.45,0,0.133,0.838,1.134
20000.0,16144.66,17700.69,0,0.105,0.84,1.096
25000.0,20176.99,21420.43,0,0.14,0.848,1.062
30000.0,22643.23,23139.24,0,0.141,0.854,1.022
35000.0,25461.39,27999.49,0,0.126,0.856,1.1
40000.0,29429.05,30378.51,0,0.146,0.865,1.032
45000.0,32455.72,32677.88,0,0.127,0.867,1.007
50000.0,32877.59,35887.43,0,0.144,0.871,1.092
55000.0,34036.6,37050.13,1,0.106,0.881,1.089
60000.0,38399.63,37346.58,1,0.143,0.887,0.973
65000.0,37215.0,38875.26,1,0.11,0.886,1.045
70000.0,37792.14,39454.47,1,0.133,0.896,1.044
75000.0,41117.85,39870.37,1,0.122,0.9,0.97
80000.0,40595.61,40946.13,1,0.139,0.903,1.009
85000.0,41667.86,40831.69,1,0.104,0.911,0.98
90000.0,41309.46,42800.7,1,0.097,0.912,1.036
95000.0,39070.1,42047.26,1,0.103,0.921,1.076
100000.0,40243.96,43426.74,1,0.138,0.923,1.079
